x y
NA NA
18.129875 69.366481
18.171944 69.359713
18.044511 69.340802
18.036375 69.346809
17.980499 69.31872
17.934096 69.317717
17.980446 69.298636
17.963705 69.272829
17.998794 69.275311
18.034166 69.255345
18.021747 69.24054
17.983258 69.232626
17.855734 69.234652
18.005199 69.21192
18.026345 69.195921
18.092651 69.191687
18.039966 69.177487
17.981223 69.177592
17.898863 69.160615
17.826388 69.165548
17.680754 69.149674
17.658017 69.161963
17.549588 69.154485
17.56976 69.166606
17.585392 69.163069
17.592941 69.17625
17.563617 69.178098
17.60703 69.199859
17.55902 69.207718
17.529827 69.203018
17.457184 69.151335
17.391593 69.13944
17.381784 69.126828
17.340333 69.116604
17.326014 69.098598
17.257145 69.087749
17.27846 69.07838
17.23446 69.053327
17.262128 69.04367
17.262736 69.056238
17.289536 69.055014
17.297555 69.044849
17.285822 69.022991
17.12275 69.012197
17.122326 69.025742
17.099893 69.039339
17.180157 69.046458
17.167768 69.055413
17.122737 69.049042
17.113494 69.052255
17.165605 69.067637
17.203916 69.065908
17.233056 69.074849
17.233941 69.084605
17.100152 69.07337
17.054476 69.080066
16.989807 69.061944
16.867561 69.057033
16.882159 69.069449
16.856101 69.072909
16.857325 69.09942
NA NA
22.007272 70.651006
22.044726 70.658874
22.069481 70.64637
22.197388 70.638211
22.187195 70.624278
22.24238 70.633266
22.31599 70.63107
22.291722 70.653023
22.263725 70.662482
22.262463 70.673892
22.311098 70.670104
22.316696 70.658867
22.429382 70.624683
22.478164 70.621303
22.441969 70.653087
22.455544 70.658759
22.413441 70.674884
22.439054 70.714664
22.485912 70.712376
22.470412 70.681813
22.486528 70.682586
22.517224 70.66204
22.548146 70.659417
22.580258 70.676073
22.553096 70.677966
22.541598 70.688684
22.587596 70.698235
22.581001 70.714282
22.637711 70.696625
22.687989 70.693099
22.666105 70.681405
22.70302 70.683536
22.694242 70.672339
22.730976 70.676367
22.712986 70.666293
22.659227 70.664405
22.615515 70.645263
22.61941 70.625145
22.731663 70.649377
22.76782 70.600958
22.773791 70.629375
22.811619 70.643708
22.864003 70.637136
22.898749 70.648841
22.80497 70.678695
22.845926 70.693279
22.79657 70.6982
22.799285 70.725898
22.766127 70.714534
22.752098 70.732065
22.831177 70.760985
22.879763 70.758958
22.843354 70.74074
22.87134 70.733553
22.889619 70.741709
22.943585 70.730767
22.895383 70.720493
22.994183 70.723358
22.994579 70.709138
22.943667 70.686301
22.988139 70.682635
23.009155 70.663142
23.051162 70.660108
23.05693 70.687611
23.107595 70.686782
23.101433 70.721777
23.200897 70.704608
23.168535 70.724008
23.17531 70.73393
23.251163 70.732185
23.243148 70.741294
23.172009 70.747897
23.169268 70.758509
23.083379 70.785541
23.108339 70.79699
23.167274 70.793204
23.119201 70.806616
23.134299 70.814044
23.193964 70.804994
23.253177 70.780805
23.263166 70.789072
23.226887 70.815384
23.242462 70.821352
23.294614 70.78488
23.362731 70.767568
23.357658 70.784993
23.386251 70.782889
23.360699 70.82029
23.376552 70.863643
23.533418 70.808954
23.510639 70.803064
23.559853 70.795611
23.556146 70.774084
23.472344 70.78932
23.428975 70.782579
23.431064 70.775318
23.51256 70.765008
23.504157 70.757102
23.477187 70.761477
23.462176 70.737949
23.431031 70.726044
23.363422 70.743834
23.346511 70.737974
23.388861 70.712583
23.355598 70.703671
23.329574 70.715537
23.327761 70.700513
23.298771 70.699805
23.343566 70.684188
23.310398 70.669108
23.27112 70.671999
23.229449 70.696366
23.197081 70.690683
23.208362 70.678021
23.190991 70.675503
23.226952 70.661507
23.198334 70.650818
23.232785 70.64924
23.203691 70.625327
23.126349 70.620092
23.167658 70.60571
23.116893 70.562073
23.090649 70.57772
23.034349 70.595068
23.028594 70.586492
23.083356 70.566889
23.064648 70.551683
22.990985 70.564134
22.997766 70.572162
22.966873 70.572504
22.934908 70.556357
22.987919 70.546845
22.986329 70.523296
22.958658 70.526248
22.933208 70.517678
22.918854 70.525813
22.886093 70.51682
